Timestamp,Temperature,Humidity,Pressure,PM1,PM2.5,PM10,CO,VOC,CO2,aqi_dust,aqi_co,aqi_voc,aqi_co2,aqi_dust_predicted,aqi_co_predicted,dust_status,co_status
2024-11-27 12:57:43,12.2,29.5,1301.0,61,51,86,40,9,80,5,1,5,1,1,4,0,1
2024-11-27 12:57:48,21.9,79.300003,2550.0,92,3,31,90,25,68,4,4,5,3,4,3,1,0
2024-11-27 12:57:53,21.9,79.300003,2550.0,92,3,31,90,25,68,4,4,5,3,4,3,1,0
2024-11-27 12:57:58,10.4,30.0,2437.0,92,60,140,89,42,61,5,1,3,5,2,2,0,1
2024-11-27 12:58:03,10.4,30.0,2437.0,92,60,140,89,42,61,5,1,3,5,2,2,0,1
2024-11-27 12:58:08,15.9,66.099998,2575.0,86,141,72,95,45,65,0,5,5,1,4,0,1,1
2024-11-27 12:58:13,15.9,66.099998,2575.0,86,141,72,95,45,65,0,5,5,1,4,0,1,1
2024-11-27 12:58:18,22.6,56.099998,1720.0,72,135,189,19,5,89,4,4,5,5,3,5,0,1
2024-11-27 12:58:23,22.6,56.099998,1720.0,72,135,189,19,5,89,4,4,5,5,3,5,0,1
2024-11-27 12:58:28,24.9,73.199997,1861.0,3,108,114,93,19,29,3,5,0,3,0,5,1,1
2024-11-27 12:58:33,24.9,73.199997,1861.0,3,108,114,93,19,29,3,5,0,3,0,5,1,1
2024-11-27 12:58:38,23.0,38.900002,1227.0,69,139,88,54,25,86,3,3,4,4,1,1,1,1
2024-11-27 12:58:43,23.0,38.900002,1227.0,69,139,88,54,25,86,3,3,4,4,1,1,1,1
2024-11-27 12:58:48,23.799999,63.5,2229.0,35,35,174,37,14,18,4,1,3,4,0,2,1,0
2024-11-27 12:58:53,23.799999,63.5,2229.0,35,35,174,37,14,18,4,1,3,4,0,2,1,0
2024-11-27 12:58:58,10.6,21.9,2920.0,70,114,87,9,25,36,5,0,5,2,1,4,0,0
2024-11-27 12:59:03,10.6,21.9,2920.0,70,114,87,9,25,36,5,0,5,2,1,4,0,0
2024-11-27 12:59:08,20.700001,28.4,2549.0,50,120,173,91,6,15,5,0,3,5,3,1,0,0
2024-11-27 12:59:13,20.700001,28.4,2549.0,50,120,173,91,6,15,5,0,3,5,3,1,0,0
2024-11-27 12:59:18,14.8,65.099998,1545.0,62,13,124,4,20,21,1,0,5,2,5,3,0,1
2024-11-27 12:59:23,14.8,65.099998,1545.0,62,13,124,4,20,21,1,0,5,2,5,3,0,1
2024-11-27 12:59:28,14.5,36.5,2079.0,51,1,161,27,36,50,3,0,4,2,5,4,0,1
2024-11-27 12:59:33,14.5,36.5,2079.0,51,1,161,27,36,50,3,0,4,2,5,4,0,1
2024-11-27 12:59:38,19.1,69.0,1141.0,82,33,186,24,46,51,4,0,0,5,4,1,1,1
2024-11-27 12:59:43,19.1,69.0,1141.0,82,33,186,24,46,51,4,0,0,5,4,1,1,1
2024-11-27 12:59:48,16.9,43.400002,2992.0,31,77,172,96,48,12,1,1,2,2,5,0,0,1
2024-11-27 12:59:53,16.9,43.400002,2992.0,31,77,172,96,48,12,1,1,2,2,5,0,0,1
2024-11-27 12:59:58,20.799999,26.9,2111.0,21,57,165,46,46,17,2,4,5,0,2,1,0,0
2024-11-27 13:00:03,20.799999,26.9,2111.0,21,57,165,46,46,17,2,4,5,0,2,1,0,0
2024-11-27 13:00:08,19.700001,20.700001,2494.0,95,26,76,0,29,45,2,0,5,1,4,5,1,0
2024-11-27 13:00:13,19.700001,20.700001,2494.0,95,26,76,0,29,45,2,0,5,1,4,5,1,0
2024-11-27 13:00:18,20.200001,59.5,1593.0,13,2,138,38,38,10,4,1,2,2,4,5,0,1
2024-11-27 13:00:23,20.200001,59.5,1593.0,13,2,138,38,38,10,4,1,2,2,4,5,0,1
2024-11-27 13:00:28,11.3,63.299999,2719.0,90,44,164,43,23,54,1,3,2,5,4,4,1,1
2024-11-27 13:00:33,11.3,63.299999,2719.0,90,44,164,43,23,54,1,3,2,5,4,4,1,1
2024-11-27 13:00:38,19.9,60.299999,2098.0,17,90,197,70,13,6,2,3,1,3,3,4,0,0
2024-11-27 13:00:43,19.9,60.299999,2098.0,17,90,197,70,13,6,2,3,1,3,3,4,0,0
2024-11-27 13:00:48,19.700001,67.400002,2127.0,26,133,24,56,6,22,1,4,2,3,1,4,0,1
2024-11-27 13:00:53,19.700001,67.400002,2127.0,26,133,24,56,6,22,1,4,2,3,1,4,0,1
2024-11-27 13:00:58,12.0,77.699997,2263.0,53,83,79,78,34,74,1,3,5,1,0,5,1,0
2024-11-27 13:01:03,12.0,77.699997,2263.0,53,83,79,78,34,74,1,3,5,1,0,5,1,0
2024-11-27 13:01:08,20.5,29.0,1496.0,40,65,159,64,3,71,3,5,4,5,3,2,1,1
2024-11-27 13:01:13,20.5,29.0,1496.0,40,65,159,64,3,71,3,5,4,5,3,2,1,1
2024-11-27 13:01:18,22.5,70.099998,2113.0,45,11,160,41,15,56,5,1,0,2,1,1,1,1
2024-11-27 13:01:23,22.5,70.099998,2113.0,45,11,160,41,15,56,5,1,0,2,1,1,1,1
2024-11-27 13:01:28,15.6,76.699997,1494.0,70,141,47,8,49,37,2,3,4,1,5,0,1,1
2024-11-27 13:01:33,15.6,76.699997,1494.0,70,141,47,8,49,37,2,3,4,1,5,0,1,1
2024-11-27 13:01:38,14.0,78.900002,2951.0,51,38,36,51,8,32,1,0,3,0,2,3,1,0
2024-11-27 13:01:43,14.0,78.900002,2951.0,51,38,36,51,8,32,1,0,3,0,2,3,1,0
2024-11-27 13:01:48,12.7,20.700001,1993.0,0,46,12,70,34,99,2,1,2,4,0,0,0,1
2024-11-27 13:01:53,12.7,20.700001,1993.0,0,46,12,70,34,99,2,1,2,4,0,0,0,1
2024-11-27 13:01:58,12.2,21.0,2672.0,9,57,140,61,38,88,0,5,3,4,3,1,0,1
2024-11-27 13:02:03,12.2,21.0,2672.0,9,57,140,61,38,88,0,5,3,4,3,1,0,1
2024-11-27 13:02:08,19.200001,63.599998,1761.0,37,132,88,2,40,33,5,3,4,1,5,1,1,0
2024-11-27 13:02:13,19.200001,63.599998,1761.0,37,132,88,2,40,33,5,3,4,1,5,1,1,0
2024-11-27 13:02:18,12.1,71.300003,2280.0,60,6,186,50,15,67,1,5,1,0,3,1,1,1
2024-11-27 13:02:23,12.1,71.300003,2280.0,60,6,186,50,15,67,1,5,1,0,3,1,1,1
2024-11-27 13:02:28,12.3,36.799999,1679.0,29,58,9,72,0,8,5,3,2,1,5,0,0,0
2024-11-27 13:02:33,12.3,36.799999,1679.0,29,58,9,72,0,8,5,3,2,1,5,0,0,0
2024-11-27 13:02:38,18.799999,64.400002,2586.0,73,130,54,7,38,41,5,0,5,3,2,0,0,1
2024-11-27 13:02:43,18.799999,64.400002,2586.0,73,130,54,7,38,41,5,0,5,3,2,0,0,1
2024-11-27 13:02:48,19.6,32.700001,1713.0,85,135,198,74,30,94,2,4,0,3,1,5,0,1
2024-11-27 13:02:53,19.6,32.700001,1713.0,85,135,198,74,30,94,2,4,0,3,1,5,0,1
2024-11-27 13:02:58,11.6,70.900002,1550.0,14,81,128,14,9,23,3,0,4,1,5,4,0,0
2024-11-27 13:03:03,11.6,70.900002,1550.0,14,81,128,14,9,23,3,0,4,1,5,4,0,0
2024-11-27 13:03:08,10.2,33.5,1664.0,22,112,89,87,24,36,3,4,5,5,2,2,0,0
2024-11-27 13:03:13,10.2,33.5,1664.0,22,112,89,87,24,36,3,4,5,5,2,2,0,0
2024-11-27 13:03:18,21.299999,37.700001,1589.0,88,76,85,32,26,81,3,5,1,3,1,5,1,1
2024-11-27 13:03:23,21.299999,37.700001,1589.0,88,76,85,32,26,81,3,5,1,3,1,5,1,1
2024-11-27 13:03:28,12.2,60.0,2723.0,15,71,164,85,44,56,0,4,0,2,2,1,1,0
2024-11-27 13:03:33,12.2,60.0,2723.0,15,71,164,85,44,56,0,4,0,2,2,1,1,0
2024-11-27 13:03:38,12.8,64.0,1935.0,10,143,191,2,1,35,5,0,4,3,3,2,0,1
2024-11-27 13:03:43,12.8,64.0,1935.0,10,143,191,2,1,35,5,0,4,3,3,2,0,1
2024-11-27 13:03:48,18.5,50.400002,1494.0,74,105,48,49,43,35,5,2,2,5,1,0,0,0
2024-11-27 13:03:53,18.5,50.400002,1494.0,74,105,48,49,43,35,5,2,2,5,1,0,0,0
2024-11-27 13:03:58,22.5,33.200001,2400.0,95,29,68,57,46,31,3,2,5,3,1,5,0,1
2024-11-27 13:04:03,22.5,33.200001,2400.0,95,29,68,57,46,31,3,2,5,3,1,5,0,1
2024-11-27 13:04:08,21.5,48.400002,1689.0,81,141,152,6,42,59,1,1,2,3,4,5,0,0
2024-11-27 13:04:13,21.5,48.400002,1689.0,81,141,152,6,42,59,1,1,2,3,4,5,0,0
2024-11-27 13:04:18,11.0,47.700001,2254.0,90,73,57,80,3,61,4,4,3,3,5,5,1,0
2024-11-27 13:04:23,11.0,47.700001,2254.0,90,73,57,80,3,61,4,4,3,3,5,5,1,0
2024-11-27 13:04:28,16.200001,21.9,1015.0,1,37,25,17,9,61,4,3,0,1,1,0,1,0
2024-11-27 13:04:33,16.200001,21.9,1015.0,1,37,25,17,9,61,4,3,0,1,1,0,1,0
2024-11-27 13:04:38,18.1,76.199997,2677.0,43,84,170,66,17,39,1,5,0,1,2,4,1,0
2024-11-27 13:04:43,18.1,76.199997,2677.0,43,84,170,66,17,39,1,5,0,1,2,4,1,0
2024-11-27 13:04:48,19.4,22.200001,2928.0,62,120,32,71,9,38,0,0,0,5,3,3,0,0
2024-11-27 13:04:53,19.4,22.200001,2928.0,62,120,32,71,9,38,0,0,0,5,3,3,0,0
2024-11-27 13:04:58,18.9,77.800003,2457.0,89,29,188,30,45,23,1,3,5,4,2,5,0,0
2024-11-27 13:05:03,18.9,77.800003,2457.0,89,29,188,30,45,23,1,3,5,4,2,5,0,0
2024-11-27 13:05:08,13.4,49.900002,2156.0,56,105,14,82,17,35,5,1,3,3,0,5,1,0
2024-11-27 13:05:13,13.4,49.900002,2156.0,56,105,14,82,17,35,5,1,3,3,0,5,1,0
2024-11-27 13:05:18,23.700001,71.300003,1672.0,27,128,117,91,33,98,2,4,3,5,4,4,0,1
2024-11-27 13:05:23,23.700001,71.300003,1672.0,27,128,117,91,33,98,2,4,3,5,4,4,0,1
2024-11-27 13:05:28,21.799999,23.200001,2458.0,2,142,100,34,41,88,2,3,3,5,2,5,0,0
2024-11-27 13:05:33,21.799999,23.200001,2458.0,2,142,100,34,41,88,2,3,3,5,2,5,0,0
2024-11-27 13:05:38,25.0,52.299999,1731.0,41,59,112,1,31,26,1,4,1,4,0,2,0,0
2024-11-27 13:05:43,25.0,52.299999,1731.0,41,59,112,1,31,26,1,4,1,4,0,2,0,0
2024-11-27 13:05:48,24.6,29.299999,1941.0,88,120,44,8,2,33,3,5,3,1,3,1,1,0
2024-11-27 13:05:53,24.6,29.299999,1941.0,88,120,44,8,2,33,3,5,3,1,3,1,1,0
2024-11-27 13:05:59,22.0,53.099998,1528.0,0,43,79,47,26,20,5,5,2,5,3,1,0,0
2024-11-27 13:06:04,22.0,53.099998,1528.0,0,43,79,47,26,20,5,5,2,5,3,1,0,0
2024-11-27 13:06:09,12.4,31.799999,1856.0,9,43,65,76,41,60,5,4,2,4,5,2,0,1
2024-11-27 13:06:14,12.4,31.799999,1856.0,9,43,65,76,41,60,5,4,2,4,5,2,0,1
2024-11-27 13:06:19,14.6,49.299999,2660.0,95,11,89,45,5,62,3,5,5,4,4,0,1,1
2024-11-27 13:06:24,14.6,49.299999,2660.0,95,11,89,45,5,62,3,5,5,4,4,0,1,1
2024-11-27 13:06:29,13.3,27.9,1889.0,30,17,161,36,25,65,2,4,4,4,1,0,1,0
2024-11-27 13:06:34,13.3,27.9,1889.0,30,17,161,36,25,65,2,4,4,4,1,0,1,0
2024-11-27 13:06:39,24.0,45.599998,1370.0,33,42,145,87,30,3,2,3,1,2,2,0,1,1
2024-11-27 13:06:44,24.0,45.599998,1370.0,33,42,145,87,30,3,2,3,1,2,2,0,1,1
2024-11-27 13:06:49,22.5,73.400002,1912.0,82,6,4,18,18,67,0,1,1,3,5,5,0,1
2024-11-27 13:06:54,22.5,73.400002,1912.0,82,6,4,18,18,67,0,1,1,3,5,5,0,1
2024-11-27 13:06:59,13.2,45.099998,2442.0,98,135,29,90,36,78,5,2,1,0,5,0,0,0
2024-11-27 13:07:04,13.2,45.099998,2442.0,98,135,29,90,36,78,5,2,1,0,5,0,0,0
2024-11-27 13:07:09,19.9,54.200001,2951.0,27,102,147,80,27,16,5,3,4,0,1,0,0,0
2024-11-27 13:07:14,19.9,54.200001,2951.0,27,102,147,80,27,16,5,3,4,0,1,0,0,0
2024-11-27 13:07:19,24.200001,54.5,2228.0,34,132,136,29,0,72,2,0,5,1,3,5,1,1
2024-11-27 13:07:24,24.200001,54.5,2228.0,34,132,136,29,0,72,2,0,5,1,3,5,1,1
2024-11-27 13:07:29,20.700001,29.4,2806.0,58,63,164,28,29,4,4,0,2,2,2,5,1,1
2024-11-27 13:07:34,20.700001,29.4,2806.0,58,63,164,28,29,4,4,0,2,2,2,5,1,1
2024-11-27 13:07:39,21.200001,57.599998,2529.0,34,115,17,89,23,3,0,2,0,1,0,4,1,0
2024-11-27 13:07:44,21.200001,57.599998,2529.0,34,115,17,89,23,3,0,2,0,1,0,4,1,0
2024-11-27 13:07:49,19.0,66.699997,1882.0,82,132,136,75,48,74,4,0,0,2,2,2,1,0
2024-11-27 13:07:54,19.0,66.699997,1882.0,82,132,136,75,48,74,4,0,0,2,2,2,1,0
2024-11-27 13:07:59,15.7,28.1,2498.0,40,34,79,41,4,92,3,2,2,4,0,1,1,1
2024-11-27 13:08:04,15.7,28.1,2498.0,40,34,79,41,4,92,3,2,2,4,0,1,1,1
2024-11-27 13:08:09,24.1,36.700001,1635.0,40,119,186,32,13,53,0,0,5,0,3,5,1,0
2024-11-27 13:08:14,24.1,36.700001,1635.0,40,119,186,32,13,53,0,0,5,0,3,5,1,0
2024-11-27 13:08:19,15.3,27.9,2484.0,99,39,37,59,49,17,4,1,2,3,4,5,1,0
2024-11-27 13:08:24,15.3,27.9,2484.0,99,39,37,59,49,17,4,1,2,3,4,5,1,0
2024-11-27 13:08:29,17.9,62.099998,2305.0,59,102,164,7,42,15,3,3,4,0,0,1,0,0
2024-11-27 13:08:34,17.9,62.099998,2305.0,59,102,164,7,42,15,3,3,4,0,0,1,0,0
2024-11-27 13:08:39,18.799999,55.299999,1934.0,59,143,119,10,36,76,5,0,2,3,5,1,1,0
2024-11-27 13:08:44,18.799999,55.299999,1934.0,59,143,119,10,36,76,5,0,2,3,5,1,1,0
2024-11-27 13:08:49,19.799999,58.799999,1420.0,16,139,28,78,41,16,3,5,0,0,1,0,1,1
2024-11-27 13:08:54,19.799999,58.799999,1420.0,16,139,28,78,41,16,3,5,0,0,1,0,1,1
2024-11-27 13:08:59,16.6,39.099998,2598.0,55,11,157,23,4,77,0,2,2,2,1,1,0,0
2024-11-27 13:09:04,16.6,39.099998,2598.0,55,11,157,23,4,77,0,2,2,2,1,1,0,0
2024-11-27 13:09:09,21.5,70.900002,1596.0,41,9,30,96,16,96,1,4,4,1,3,4,1,1
2024-11-27 13:09:14,21.5,70.900002,1596.0,41,9,30,96,16,96,1,4,4,1,3,4,1,1
2024-11-27 13:09:19,24.5,76.5,2195.0,76,18,92,85,14,58,2,4,4,0,1,5,0,1
2024-11-27 13:09:24,24.5,76.5,2195.0,76,18,92,85,14,58,2,4,4,0,1,5,0,1
2024-11-27 13:09:29,16.0,30.299999,2249.0,39,89,144,23,44,77,1,2,0,2,4,3,1,1
2024-11-27 13:09:34,16.0,30.299999,2249.0,39,89,144,23,44,77,1,2,0,2,4,3,1,1
2024-11-27 13:09:39,23.1,48.299999,2145.0,67,4,85,13,12,1,3,4,2,3,3,4,1,1
2024-11-27 13:09:44,23.1,48.299999,2145.0,67,4,85,13,12,1,3,4,2,3,3,4,1,1
2024-11-27 13:09:49,23.799999,61.700001,1696.0,82,75,102,74,18,79,1,2,3,4,0,1,0,0
2024-11-27 13:09:54,23.799999,61.700001,1696.0,82,75,102,74,18,79,1,2,3,4,0,1,0,0
2024-11-27 13:09:59,13.8,45.799999,2334.0,75,56,76,26,29,32,0,1,4,2,1,0,1,0
2024-11-27 13:10:04,13.8,45.799999,2334.0,75,56,76,26,29,32,0,1,4,2,1,0,1,0
2024-11-27 13:10:09,16.6,67.5,2206.0,73,110,29,1,37,66,1,2,4,1,2,5,1,1
2024-11-27 13:10:14,16.6,67.5,2206.0,73,110,29,1,37,66,1,2,4,1,2,5,1,1
2024-11-27 13:10:19,14.0,52.900002,2639.0,67,36,75,24,5,19,3,1,1,5,3,1,0,1
2024-11-27 13:10:24,14.0,52.900002,2639.0,67,36,75,24,5,19,3,1,1,5,3,1,0,1
2024-11-27 13:10:29,11.4,74.699997,2859.0,40,128,99,55,20,34,5,2,3,2,2,1,0,1
2024-11-27 13:10:34,11.4,74.699997,2859.0,40,128,99,55,20,34,5,2,3,2,2,1,0,1
2024-11-27 13:10:39,24.6,49.700001,1582.0,89,124,63,80,20,7,3,3,1,4,0,3,1,1
2024-11-27 13:10:44,24.6,49.700001,1582.0,89,124,63,80,20,7,3,3,1,4,0,3,1,1
2024-11-27 13:10:49,13.6,38.599998,1024.0,98,64,128,56,0,58,1,2,4,4,2,0,0,0
2024-11-27 13:10:54,13.6,38.599998,1024.0,98,64,128,56,0,58,1,2,4,4,2,0,0,0
2024-11-27 13:10:59,20.299999,43.5,1972.0,91,144,2,77,15,42,5,4,5,5,4,4,0,0
2024-11-27 13:11:04,20.299999,43.5,1972.0,91,144,2,77,15,42,5,4,5,5,4,4,0,0
2024-11-27 13:11:09,21.0,43.700001,2648.0,89,143,48,22,36,50,2,0,3,1,4,4,1,1
2024-11-27 13:11:14,21.0,43.700001,2648.0,89,143,48,22,36,50,2,0,3,1,4,4,1,1
2024-11-27 13:11:19,21.200001,70.300003,1461.0,10,78,154,28,7,51,1,3,5,1,0,3,1,0
2024-11-27 13:11:24,21.200001,70.300003,1461.0,10,78,154,28,7,51,1,3,5,1,0,3,1,0
2024-11-27 13:11:29,12.9,54.599998,1146.0,38,142,26,50,10,68,0,3,5,0,3,1,1,0
2024-11-27 13:11:34,12.9,54.599998,1146.0,38,142,26,50,10,68,0,3,5,0,3,1,1,0
2024-11-27 13:11:39,19.0,53.799999,2616.0,3,112,101,45,8,41,0,3,3,0,4,3,0,1
2024-11-27 13:11:44,19.0,53.799999,2616.0,3,112,101,45,8,41,0,3,3,0,4,3,0,1
2024-11-27 13:11:49,11.1,46.400002,1021.0,25,91,108,79,44,41,4,3,3,0,1,0,0,0
2024-11-27 13:11:54,11.1,46.400002,1021.0,25,91,108,79,44,41,4,3,3,0,1,0,0,0
2024-11-27 13:11:59,23.700001,61.299999,1066.0,67,74,101,61,33,56,4,5,1,0,3,0,0,0
2024-11-27 13:12:04,23.700001,61.299999,1066.0,67,74,101,61,33,56,4,5,1,0,3,0,0,0
2024-11-27 13:12:09,22.1,47.900002,2526.0,22,68,143,37,43,76,2,0,1,2,2,4,0,0
2024-11-27 13:12:14,22.1,47.900002,2526.0,22,68,143,37,43,76,2,0,1,2,2,4,0,0
2024-11-27 13:12:19,17.299999,42.400002,2975.0,75,107,67,63,33,70,4,2,4,0,1,1,1,0
2024-11-27 13:12:24,17.299999,42.400002,2975.0,75,107,67,63,33,70,4,2,4,0,1,1,1,0
2024-11-27 13:12:29,15.0,42.700001,2716.0,38,113,163,10,19,82,3,3,5,3,1,4,0,1
2024-11-27 13:12:34,15.0,42.700001,2716.0,38,113,163,10,19,82,3,3,5,3,1,4,0,1
2024-11-27 13:12:39,11.1,65.900002,1587.0,9,66,138,86,32,42,2,2,2,1,4,5,0,0
2024-11-27 13:12:44,11.1,65.900002,1587.0,9,66,138,86,32,42,2,2,2,1,4,5,0,0
2024-11-27 13:12:49,23.700001,51.700001,2090.0,45,74,18,5,39,74,4,4,5,2,3,3,0,0
2024-11-27 13:12:54,23.700001,51.700001,2090.0,45,74,18,5,39,74,4,4,5,2,3,3,0,0
2024-11-27 13:12:59,25.0,43.700001,2301.0,28,19,98,99,40,2,2,3,4,3,0,1,1,0
2024-11-27 13:13:04,25.0,43.700001,2301.0,28,19,98,99,40,2,2,3,4,3,0,1,1,0
2024-11-27 13:13:09,21.1,28.4,2424.0,31,68,84,79,7,62,2,4,2,0,2,4,1,1
2024-11-27 13:13:14,21.1,28.4,2424.0,31,68,84,79,7,62,2,4,2,0,2,4,1,1
